date,time_local,platform,pillar,piece_id,tag,src_link,status
2026-07-19,09:00,X,P1-SensorRead,sensor-main,X-POST,https://cannonfightlab.com/card/ufc-fight-night-ankalaev-vs-rountree-jr-2619.html?src=x,draft
2026-07-19,18:30,TikTok,P1-SensorRead,sensor-main-reel,TIKTOK-REEL,https://cannonfightlab.com/card/ufc-fight-night-ankalaev-vs-rountree-jr-2619.html?src=tiktok,draft
2026-07-20,09:00,X,P4-WhatIf,whatif-finisher,X-POST,https://cannonfightlab.com/card/ufc-fight-night-ankalaev-vs-rountree-jr-2619.html?src=x,draft
2026-07-20,18:30,X / Reel,P4-WhatIf,whatif-intel-slot,BONUS,https://cannonfightlab.com/card/ufc-fight-night-ankalaev-vs-rountree-jr-2619.html?src=x,draft
2026-07-21,09:00,X,P1-SensorRead,poll-main,X-POST,https://cannonfightlab.com/card/ufc-fight-night-ankalaev-vs-rountree-jr-2619.html?src=x,draft
2026-07-21,18:30,TikTok / Reel,Awareness,teaser-loop,BONUS,https://cannonfightlab.com/card/ufc-fight-night-ankalaev-vs-rountree-jr-2619.html?src=tiktok,draft
