date,time_local,platform,pillar,piece_id,tag,src_link,status
2026-07-12,09:00,X,P1-SensorRead,sensor-main,X-POST,https://cannonfightlab.com/card/ufc-fight-night-du-plessis-vs-usman-2563.html?src=x,draft
2026-07-12,18:30,TikTok,P1-SensorRead,sensor-main-reel,TIKTOK-REEL,https://cannonfightlab.com/card/ufc-fight-night-du-plessis-vs-usman-2563.html?src=tiktok,draft
2026-07-13,09:00,X,P3-CoinFlip,coinflip-lead,X-POST,https://cannonfightlab.com/card/ufc-fight-night-du-plessis-vs-usman-2563.html?src=x,draft
2026-07-13,18:30,TikTok,P3-CoinFlip,coinflip-reel,TIKTOK-REEL,https://cannonfightlab.com/card/ufc-fight-night-du-plessis-vs-usman-2563.html?src=tiktok,draft
2026-07-14,09:00,X / Reel,P4-WhatIf,whatif-intel-slot,BONUS,https://cannonfightlab.com/card/ufc-fight-night-du-plessis-vs-usman-2563.html?src=x,draft
2026-07-14,18:30,X,P1-SensorRead,poll-main,X-POST,https://cannonfightlab.com/card/ufc-fight-night-du-plessis-vs-usman-2563.html?src=x,draft
2026-07-15,09:00,TikTok / Reel,Awareness,teaser-loop,BONUS,https://cannonfightlab.com/card/ufc-fight-night-du-plessis-vs-usman-2563.html?src=tiktok,draft
